Date,Category,Sub Category,Sub-Sub Category,Type,Description,Amount,Department,Checker
Jan 2,Cost of Goods Sold,Bar,Supplies,Expense,Piping Bag,₱134.00,Bar,"₱11,202.85"
Jan 2,Payroll Expense,Employee Payroll,,Expense,Salary,"₱1,847.05",Store,"₱9,355.80"
Jan 3,Sales,Sales,Sales,Income,Sales,"₱11,219.69",Store,"₱20,575.49"
Jan 3,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱553.00,Bar,"₱20,022.49"
Jan 3,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱19,802.49"
Jan 3,Cost of Goods Sold,Bakery,Supplies,Expense,Small Pastry bag,₱320.00,Bakery,"₱19,482.49"
Jan 3,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱180.00,Bar,"₱19,302.49"
Jan 3,Payroll Expense,Employee Payroll,,Expense,Salary,"₱5,658.33",Store,"₱13,644.16"
Jan 4,Sales,Sales,Sales,Income,Sales,"₱16,878.64",Store,"₱30,522.80"
Jan 4,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱180.00,Bar,"₱30,342.80"
Jan 4,Cost of Goods Sold,Bar,Supplies,Expense,Water (Absolute),₱176.00,Bar,"₱30,166.80"
Jan 4,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Insecticide (Baolilai),₱95.00,Bar,"₱30,071.80"
Jan 4,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱1,795.00",Kitchen,"₱28,276.80"
Jan 4,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱1,206.00",Bakery,"₱27,070.80"
Jan 4,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order bar,"₱2,252.50",Bar,"₱24,818.30"
Jan 4,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Parking Expenses,₱40.00,Store,"₱24,778.30"
Jan 4,Payroll Expense,Employee Payroll,,Expense,Salary,"₱6,328.20",Store,"₱18,450.10"
Jan 5,Sales,Sales,Sales,Income,Sales,"₱4,181.58",Store,"₱22,631.68"
Jan 5,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Cheese),₱105.00,Kitchen,"₱22,526.68"
Jan 5,Cost of Goods Sold,Bar,Supplies,Expense,Condensed Milk,₱199.00,Bar,"₱22,327.68"
Jan 5,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Purchase Order Staff Meal,₱107.00,Kitchen,"₱22,220.68"
Jan 5,Uncategorized,,,Expense,Transfer to G-cash,"₱9,700.00",Store,"₱12,520.68"
Jan 6,Sales,Sales,Sales,Income,Sales,"₱3,879.36",Store,"₱16,400.04"
Jan 6,Cost of Goods Sold,Bar,Packaging & Disposables,Expense,Syrup Cover,₱137.00,Bar,"₱16,263.04"
Jan 6,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Purchase Order Staff Meal,₱80.00,Kitchen,"₱16,183.04"
Jan 6,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱9,350.00",Kitchen,"₱6,833.04"
Jan 6,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,150.00",Store,"₱5,683.04"
Jan 6,Government Fees,Legal Expense,,Expense,Meralco Yellow Card Application,₱371.00,Store,"₱5,312.04"
Jan 7,Sales,Sales,Sales,Income,Sales,"₱7,421.52",Store,"₱12,733.56"
Jan 7,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Milk,₱124.00,Bar,"₱12,609.56"
Jan 7,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱90.00,Bar,"₱12,519.56"
Jan 7,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱3,525.00",Kitchen,"₱8,994.56"
Jan 7,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,₱405.00,Bakery,"₱8,589.56"
Jan 7,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,₱570.00,Store,"₱8,019.56"
Jan 9,Sales,Sales,Sales,Income,Sales,"₱7,916.93",Store,"₱15,936.49"
Jan 9,Cleaning & Sanitation,Cleaning & Janitorial,,Expense,General Cleaning Expense,₱112.00,Store,"₱15,824.49"
Jan 10,Sales,Sales,Sales,Income,Sales,"₱3,131.84",Store,"₱18,956.33"
Jan 10,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱1,000.00",Bakery,"₱17,956.33"
Jan 11,Sales,Sales,Sales,Income,Sales,"₱7,989.49",Store,"₱25,945.82"
Jan 11,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Steak),₱370.00,Kitchen,"₱25,575.82"
Jan 11,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱25,355.82"
Jan 11,Cost of Goods Sold,Bar,Packaging & Disposables,Expense,Happy Birthday Topper,₱195.00,Bar,"₱25,160.82"
Jan 11,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Purchase Order Staff Meal (Sinigang Mix),₱64.00,Kitchen,"₱25,096.82"
Jan 11,Cost of Goods Sold,Bar,Delivery Fee,Expense,Lalamove COD Payment,"₱2,156.00",Bar,"₱22,940.82"
Jan 11,Payroll Expense,Service Charge Distribution,,Expense,SC Madaam Carol,"₱3,000.00",Store,"₱19,940.82"
Jan 11,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen (Pasta),₱293.50,Kitchen ,"₱19,647.32"
Jan 11,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar (Everwhip),"₱1,140.00",Bar,"₱18,507.32"
Jan 12,Sales,Sales,Sales,Income,Sales,"₱2,651.03",Store,"₱21,158.35"
Jan 13,Sales,Sales,Sales,Income,Sales,"₱8,371.45",Store,"₱29,529.80"
Jan 13,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱29,309.80"
Jan 13,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱170.00,Bar,"₱29,139.80"
Jan 13,Cost of Goods Sold,Bar,Packaging & Disposables,Expense,Candles,₱83.00,Bar,"₱29,056.80"
Jan 14,Sales,Sales,Sales,Income,Sales,"₱9,574.06",Store,"₱38,630.86"
Jan 14,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱510.00,Bar,"₱38,120.86"
Jan 14,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱4,861.00",Kitchen,"₱33,259.86"
Jan 14,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order (Bar),"₱2,904.00",Bar,"₱30,355.86"
Jan 14,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,070.00",Store,"₱29,285.86"
Jan 14,Delivery & Logistics,Parking Fee,,Expense,Notaryo for Meralco Undertaking Docs/Parking,₱320.00,Store,"₱28,965.86"
Jan 15,Sales,Sales,Sales,Income,Sales,"₱2,540.74",Store,"₱31,506.60"
Jan 15,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Lalamove (Kitchen),₱239.00,Kitchen,"₱31,267.60"
Jan 16,Sales,Sales,Sales,Income,Sales,"₱5,746.64",Store,"₱37,014.24"
Jan 16,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱36,794.24"
Jan 16,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Insecticide (Baolilai),₱95.00,Bar,"₱36,699.24"
Jan 16,Delivery & Logistics,Parking Fee,,Expense,Purchase Order (Bakery) Parking,"₱1,141.70",Bakery,"₱35,557.54"
Jan 16,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order (Bar),"₱1,131.25",Bar,"₱34,426.29"
Jan 16,Sales,Sales,Sales,Income,Sales (Wedding Event Biñan),"₱2,000.00",Store,"₱36,426.29"
Jan 16,Delivery & Logistics,Travel Fee,,Expense,(Transpo Payment for Wedding Event Biñan),"₱2,000.00",Store,"₱34,426.29"
Jan 16,Payroll Expense,Employee Payroll,,Expense,Salary,"₱16,719.70",Store,"₱17,706.59"
Jan 17,Sales,Sales,Sales,Income,Sales,"₱3,640.39",Store,"₱21,346.98"
Jan 17,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱150.00,Bar,"₱21,196.98"
Jan 17,Payroll Expense,Employee Payroll,,Expense,Salary,"₱3,705.18",Store,"₱17,491.80"
Jan 17,Office Expense,Office Supplies,,Expense,Double Adhesive Tape (For Picture Frames),₱439.00,Store,"₱17,052.80"
Jan 18,Sales,Sales,Sales,Income,Sales,"₱9,445.35",Store,"₱26,498.15"
Jan 18,Operating Expense,Utilities,Gas,Expense,Butane,₱59.00,Kitchen,"₱26,439.15"
Jan 18,Office Expense,Office Supplies,,Expense,Masking Tape,₱35.00,Store,"₱26,404.15"
Jan 18,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱26,184.15"
Jan 18,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱70.00,Bar,"₱26,114.15"
Jan 19,Sales,Sales,Sales,Income,Sales,"₱3,997.39",Store,"₱30,111.54"
Jan 19,Operating Expense,Kitchen Supplies,Small Equipment,Expense,Flame gun,₱90.00,Kitchen,"₱30,021.54"
Jan 20,Sales,Sales,Sales,Income,Sales,"₱9,534.57",Store,"₱39,556.11"
Jan 20,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱180.00,Bar,"₱39,376.11"
Jan 20,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱12,079.50",Kitchen,"₱27,296.61"
Jan 20,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order (Bakery),"₱2,594.00",Bakery,"₱24,702.61"
Jan 20,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Parking Expenses,₱50.00,Store,"₱24,652.61"
Jan 20,Payroll Expense,Employee Payroll,,Expense,Salary,"₱14,700.18",Store,"₱9,952.43"
Jan 21,Sales,Sales,Sales,Income,Sales,"₱6,100.97",Store,"₱16,053.40"
Jan 21,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱4,456.00",Kitchen,"₱11,597.40"
Jan 21,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order (Bar),₱479.00,Bar,"₱11,118.40"
Jan 21,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,020.00",Store,"₱10,098.40"
Jan 21,Payroll Expense,Employee Payroll,,Expense,Salary,"₱2,590.00",Store,"₱7,508.40"
Jan 22,Sales,Sales,Sales,Income,Sales,"₱1,659.18",Store,"₱9,167.58"
Jan 22,Cost of Goods Sold,Bar,Supplies,Expense,"Photo Paper, Sticker, Biscoff","₱1,865.00",Bar,"₱7,302.58"
Jan 22,Cost of Goods Sold,Bar,Supplies,Expense,"(Wine Glass, Novelino Red Wine)",₱584.00,Store,"₱6,718.58"
Jan 22,Operating Expenses,Marketing & Promotional,Decorations,Expense,(Roses for Photo Shoot),₱300.00,Store,"₱6,418.58"
Jan 22,Payroll Expense,Employee Payroll,,Expense,(Salary Rue),"₱1,448.50",Store,"₱4,970.08"
Jan 23,Sales,Sales,Sales,Income,Sales,"₱6,456.98",Store,"₱11,427.06"
Jan 23,Cost of Goods Sold,Bar,Supplies,Expense,"(Apron, Ice)",₱749.00,Bar,"₱10,678.06"
Jan 23,Cost of Goods Sold,Kitchen,Supplies,Expense,Mozzarella Cheese (Kitchen),"₱1,325.00",Kitchen,"₱9,353.06"
Jan 23,Cost of Goods Sold,Bakery,Supplies,Expense,Gelatin (Bakery) ,"₱1,026.00",Bakery,"₱8,327.06"
Jan 24,Sales,Sales,Sales,Income,SALES,"₱7,113.58",Store,"₱15,440.64"
Jan 24,Cost of Goods Sold,Bar,Supplies,Expense,"(Vanilla Syrup, Water) Bar",₱755.00,Bar,"₱14,685.64"
Jan 25,Sales,Sales,Sales,Income,SALES,"₱7,567.00",Store,"₱22,252.64"
Jan 25,Operating Expense,Kitchen Supplies,Small Equipment,Expense,(Rice Cup),₱150.00,Kitchen,"₱22,102.64"
Jan 25,Cost of Goods Sold,Kitchen,Staff Meal,Expense,(Bopis Ingredients) Kitchen,₱250.00,Kitchen,"₱21,852.64"
Jan 25,Payroll Expense,Service Charge Distribution,,Expense,"SC Carol For Dec
",₱500.00,Store,"₱21,352.64"
Jan 26,Sales,Sales,Sales,Income,SALES,"₱5,062.31",Store,"₱26,414.95"
Jan 26,Operating Expense,Kitchen Supplies,Small Equipment,Income,Cash added (Sukli from Rice Cup),₱45.00,Store,"₱26,459.95"
Jan 26,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Cheese),₱106.00,Kitchen,"₱26,353.95"
Jan 27,Sales,Sales,Sales,Income,SALES,"₱3,512.64",Store,"₱29,866.59"
Jan 27,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱29,646.59"
Jan 27,Operating Expense,Uniform,,Expense,T-Shirt (Polo),₱250.00,Store,"₱29,396.59"
Jan 27,Cost of Goods Sold,Bakery,Supplies,Expense,Cake Board (maam Carol),₱120.00,Bakery,"₱29,276.59"
Jan 27,Office Expense,Office Supplies,,Expense,Charger,₱155.00,Store,"₱29,121.59"
Jan 27,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱7,056.00",Kitchen,"₱22,065.59"
Jan 27,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order (Bar),"₱1,057.00",Bar,"₱21,008.59"
Jan 27,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,050.00",Store,"₱19,958.59"
Jan 28,Sales,Sales,Sales,Income,SALES,"₱1,816.14",Store,"₱21,774.73"
Jan 28,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Lalamove),₱124.00,Bar,"₱21,650.73"
Jan 28,Office Expense,Office Supplies,,Expense,Parcel (Ballpen),₱159.00,Bar,"₱21,491.73"
Jan 28,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order (Bakery),"₱5,228.00",Bakery,"₱16,263.73"
Jan 28,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,₱50.00,Store,"₱16,213.73"
Jan 28,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱1,881.00",Kitchen,"₱14,332.73"
Jan 29,Sales,Sales,Sales,Income,SALES,"₱1,562.41",Store,"₱15,895.14"
Jan 29,Cost of Goods Sold,Kitchen,Packaging & Disposables,Expense,Plastic Labo,₱42.00,Store,"₱15,853.14"
Jan 29,Cost of Goods Sold,Bakery,Supplies,Expense,Powdered Milk (Bear Brand) Bakery,₱50.00,Bakery,"₱15,803.14"
Jan 29,Cost of Goods Sold,Bakery,Supplies,Expense,Manggo (Bakery),₱245.00,Bakery,"₱15,558.14"
Jan 29,Cost of Goods Sold,Bakery,Supplies,Expense,AAB (Bakery),"₱1,029.00",Bakery,"₱14,529.14"
Jan 30,Sales,Sales,Sales,Income,SALES,"₱7,637.69",Store,"₱22,166.83"
Jan 30,Payroll Expense,Service Charge Distribution,,Expense,"SC Carol For Dec
",₱600.00,Store,"₱21,566.83"
Jan 30,Payroll Expense,Service Charge Distribution,,Expense,"SC Carol For Jan
","₱4,100.00",Store,"₱17,466.83"
Jan 30,Delivery & Logistics,Parking Fee,,Expense,Gas for Meralco Rosario Follow up,₱500.00,Store,"₱16,966.83"
Jan 30,Cost of Goods Sold,Kitchen,Supplies,Expense,"Salmon, Evap (R&D)","₱1,483.27",Store,"₱15,483.56"
Jan 31,Sales,Sales,Sales,Income,SALES,"₱4,722.14",Store,"₱20,205.70"
Jan 31,Cost of Goods Sold,Kitchen,Supplies,Expense,Eden Cheese ,₱130.00,Kitchen,"₱20,075.70"
Jan 31,Cost of Goods Sold,Bakery,Supplies,Expense,Quesso De Bola,₱800.00,Bakery,"₱19,275.70"
Jan 31,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Bawang),₱68.00,Kitchen,"₱19,207.70"
Jan 31,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Sauce),₱105.00,Bar,"₱19,102.70"
Feb 01,Sales,Sales,Sales,Income,SALES,"₱8,238.85",Store,"₱27,341.55"
Feb 01,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱27,121.55"
Feb 01,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Ribs),₱100.00,Kitchen,"₱27,021.55"
Feb 01,Operating Expense,Kitchen Supplies,Small Equipment,Expense,Shopee (Stainless Handle),₱138.00,Kitchen,"₱26,883.55"
Feb 01,Cost of Goods Sold,Bar,Supplies,Expense,Shopee (Biscoff Spread),₱418.00,Bar,"₱26,465.55"
Feb 01,Cost of Goods Sold,Kitchen,Supplies,Expense,Reno Liver spread,₱47.00,Kitchen,"₱26,418.55"
Feb 01,Cost of Goods Sold,Bakery,Supplies,Expense,Bakery Purchases,₱979.00,Bakery,"₱25,439.55"
Feb 02,Sales,Sales,Sales,Income,SALES,"₱6,612.91",Store,"₱32,052.46"
Feb 02,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Insecticide (Baolilai),₱95.00,Bar,"₱31,957.46"
Feb 02,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱240.00,Bar,"₱31,717.46"
Feb 02,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Lettuce),₱91.00,Kitchen,"₱31,626.46"
Feb 02,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Cocomama,₱115.00,Kitchen,"₱31,511.46"
Feb 03,Sales,Sales,Sales,Income,SALES,"₱6,716.10",Store,"₱38,227.56"
Feb 03,Operating Expense,Utilities - Electricity,,Expense,Meralco Payment January Bill,"₱31,021.60",Store,"₱7,205.96"
Feb 03,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱6,985.96"
Feb 04,Sales,Sales,Sales,Income,SALES,"₱1,481.92",Store,"₱8,467.88"
Feb 04,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱2,445.00",Kitchen,"₱6,022.88"
Feb 04,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,050.00",Store,"₱4,972.88"
Feb 05,Sales,Sales,Sales,Income,SALES,"₱9,336.80",Store,"₱14,309.68"
Feb 05,Office Expense,Office Supplies,,Expense,Tripple A Battery,₱15.00,Store,"₱14,294.68"
Feb 05,Cost of Goods Sold,Kitchen,Supplies,Expense,Truffle Sauce,₱657.00,Kitchen,"₱13,637.68"
Feb 05,Cost of Goods Sold,Bakery,Supplies,Expense,SnR (Milk),₱972.00,Bakery,"₱12,665.68"
Feb 06,Sales,Sales,Sales,Income,SALES,"₱2,038.85",Store,"₱14,704.53"
Feb 06,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱180.00,Bar,"₱14,524.53"
Feb 06,Cost of Goods Sold,Kitchen,Supplies,Expense,Truffle Sauce (balance),"₱1,000.00",Kitchen,"₱13,524.53"
Feb 06,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Cream Cheese),₱182.00,Bakery,"₱13,342.53"
Feb 06,Office Expense,Office Supplies,,Expense,"EXPENSE (Cable Tie, D/S Tape) Mr. DIY",₱726.00,Store,"₱12,616.53"
Feb 06,Payroll Expense,Employee Payroll,,Expense,EXPENSE Addtnl Cash Transfer to RCBC for Salary,"₱6,000.00",Store,"₱6,616.53"
Feb 07,Sales,Sales,Sales,Income,SALES,"₱2,511.48",Store,"₱9,128.01"
Feb 07,Office Expense,Office Supplies,,Expense,(D/S Tape) Mr. DIY,₱338.00,Store,"₱8,790.01"
Feb 07,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Staff Meal (Dinuguan) c/o Donel,₱500.00,Kitchen,"₱8,290.01"
Feb 07,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱8,070.01"
Feb 07,Operating Expense,Utilities,Gas,Expense,Butane,₱59.00,Kitchen,"₱8,011.01"
Feb 08,Sales,Sales,Sales,Income,SALES,"₱3,372.13",Store,"₱11,383.14"
Feb 08,Office Expense,Office Supplies,,Expense,EXPENSE (Elec. Tape),₱40.00,Store,"₱11,343.14"
Feb 08,Operating Expense,Repairs & Maintenance,Small Equipment,Expense,EXPENSE (LED Light for Standing Chiller+Parking) MR. DIY,₱209.00,Store,"₱11,134.14"
Feb 08,Cost of Goods Sold,Bakery,Supplies,Expense,EXPENSE (Rice Flour),₱74.00,Bakery,"₱11,060.14"
Feb 08,Cost of Goods Sold,Bakery,Supplies,Expense,EXPENSE (Apple Juice),₱107.95,Bakery,"₱10,952.19"
Feb 08,Cost of Goods Sold,Kitchen,Supplies,Expense,EXPENSE (Egg 2trays+Parking),₱520.00,Kitchen,"₱10,432.19"
Feb 08,Operating Expense,Repairs & Maintenance,Equipment Repairs,Expense,EXPENSE (Chiller Technician Labor),"₱5,800.00",Store,"₱4,632.19"
Feb 09,Sales,Sales,Sales,Income,SALES,"₱5,276.45",Store,"₱9,908.64"
Feb 09,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Staff Meal Sotanghon,₱46.50,Kitchen,"₱9,862.14"
Feb 10,Sales,Sales,Sales,Income,SALES,"₱4,524.75",Store,"₱14,386.89"
Feb 10,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Biscoff),₱105.00,Bar,"₱14,281.89"
Feb 10,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱180.00,Bar,"₱14,101.89"
Feb 10,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱4,539.95",Kitchen,"₱9,561.94"
Feb 10,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order bakery,"₱3,444.00",Bakery,"₱6,117.94"
Feb 10,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,₱350.00,Bar,"₱5,767.94"
Feb 10,Delivery & Logistics,Parking Fee, ,Expense,Purchase Order Gas/Parking,"₱1,020.00",Store,"₱4,747.94"
Feb 11,Sales,Sales,Sales,Income,SALES,"₱3,593.55",Store,"₱8,341.49"
Feb 11,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱8,121.49"
Feb 11,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱3,730.00",Kitchen,"₱4,391.49"
Feb 11,Delivery & Logistics,Parking Fee, ,Expense,Purchase Order Gas/Parking,₱50.00,Store,"₱4,341.49"
Feb 12,Sales,Sales,Sales,Income,SALES,"₱3,133.19",Store,"₱7,474.68"
Feb 12,Sales,Sales,,Income,Down Payment for Feb 14,₱500.00,Store,"₱7,974.68"
Feb 12,Operating Expense,Bar Supplies,Small Equipment,Expense,Wine Glass,"₱1,910.00",Store,"₱6,064.68"
Feb 12,Operating Expense,Bar Supplies,Small Equipment,Expense,Wine Glass,₱460.00,Store,"₱5,604.68"
Feb 12,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱1,776.00",Kitchen,"₱3,828.68"
Feb 12,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Parking Expenses,₱20.00,Store,"₱3,808.68"
Feb 13,Sales,Sales,Sales,Income,SALES,"₱4,357.71",Store,"₱8,166.39"
Feb 13,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Deliveery Fee (Steak),₱350.00,Store,"₱7,816.39"
Feb 13,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Ice Cream),₱134.00,Store,"₱7,682.39"
Feb 13,Delivery & Logistics,Parking Fee,Delivery Fee,Expense,Delivery Fee (Instax Camera),₱100.00,Store,"₱7,582.39"
Feb 13,Delivery & Logistics,Parking Fee,,Expense,"Parking W.Mart,SM Trece & Red Celophane",₱142.00,Store,"₱7,440.39"
Feb 13,Payroll Expense,Service Charge Distribution,,Expense,SC Carol,"₱2,000.00",Store,"₱5,440.39"
Feb 14,Sales,Sales,Sales,Income,SALES,"₱10,648.24",Store,"₱16,088.63"
Feb 14,Operating Expenses,Marketing & Promotional,Event,Expense,Payment for DJ,"₱3,500.00",Store,"₱12,588.63"
Feb 14,Operating Expense,Kitchen Supplies,Small Equipment,Expense,Lighter,₱35.00,Kitchen,"₱12,553.63"
Feb 14,Office Expense,Office Supplies,Small Equipment,Expense,Battery,₱15.00,Store,"₱12,538.63"
Feb 14,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Parmesan Cheese),₱168.00,Kitchen,"₱12,370.63"
Feb 14,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱180.00,Bar,"₱12,190.63"
Feb 14,Cost of Goods Sold,Bar,Supplies,Expense,Parcel  ,₱88.00,Bar,"₱12,102.63"
Feb 14,Office Expense,Office Supplies,,Expense,Tape,₱48.00,Store,"₱12,054.63"
Feb 14,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,₱500.00,Store,"₱11,554.63"
Feb 14,Delivery & Logistics,Parking Fee,,Expense,"Parking, Gas",₱250.00,Store,"₱11,304.63"
Feb 15,Sales,Sales,Sales,Income,SALES,"₱4,469.09",Store,"₱15,773.72"
Feb 15,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Staff Meal (Bagoong),₱79.00,Kitchen,"₱15,694.72"
Feb 16,Sales,Sales,Sales,Income,SALES,"₱1,005.23",Store,"₱16,699.95"
Feb 16,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱150.00,Bar,"₱16,549.95"
Feb 16,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Meat),₱174.00,Kitchen,"₱16,375.95"
Feb 16,Cost of Goods Sold,Bar,Supplies,Expense,Sprite,₱608.00,Bar,"₱15,767.95"
Feb 17,Sales,Sales,Sales,Income,SALES,"₱2,352.50",Store,"₱18,120.45"
Feb 17,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱6,427.00",Kitchen,"₱11,693.45"
Feb 17,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order bakery,"₱2,450.50",Bakery,"₱9,242.95"
Feb 17,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,050.00",Store,"₱8,192.95"
Feb 17,Operating Expense,Repairs & Maintenance,Equipment Repairs,Expense,Chiller Technician Labor Payment,"₱1,000.00",Store,"₱7,192.95"
Feb 18,Sales,Sales,Sales,Income,SALES,"₱5,234.54",Store,"₱12,427.49"
Feb 18,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Bar Ingredients),₱105.00,Bar,"₱12,322.49"
Feb 18,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱2,362.50",Kitchen,"₱9,959.99"
Feb 18,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order bakery,"₱4,669.00",Bakery,"₱5,290.99"
Feb 19,Sales,Sales,Sales,Income,SALES,"₱9,118.33",Store,"₱14,409.32"
Feb 19,Operating Expense,Bar,Small Equipment,Expense,Matcha Wisk,₱155.00,Bar,"₱14,254.32"
Feb 19,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Doormat,₱85.00,Store,"₱14,169.32"
Feb 19,Operating Expense,Uniform,,Expense,Parcel (Chef's Hat),₱431.00,Store,"₱13,738.32"
Feb 19,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Frozen Goods sa Juana),₱133.00,Store,"₱13,605.32"
Feb 19,Payroll Expense,Employee Payroll,,Expense,Addtnl Salary,"₱8,450.00",Store,
Feb 20,Sales,Sales,Sales,Income,SALES,"₱2,011.00",Store,
